Fecha,GasLicuado,Regular,Superior,Diesel
Jan/2017,567345.82,527564.9,748233.58,842993.49
Feb/2017,279527.23,469140.06,497707.41,844676.98
Mar/2017,780048.59,608144.98,734984.24,1351787.92
Apr/2017,530578.14,681303.11,632843.41,1406022.43
May/2017,604702.55,386088.18,442311.09,889926.86
Jun/2017,487244.19,519389.66,582374.34,902659.0
Jul/2017,510428.14,433026.08,769214.06,994338.3
Aug/2017,538582.14,592103.31,607368.72,846696.35
Sep/2017,350294.57,316435.22,401678.98,925397.87
Oct/2017,584709.61,574073.61,657241.76,740198.57
Nov/2017,935986.51,434963.36,504247.31,1135350.1
Dec/2017,595421.43,679441.47,803216.88,1305047.55
Jan/2018,396363.05,571858.06,535784.7,1175819.42
Feb/2018,591000.02,509366.1,629467.91,951630.6
Mar/2018,644245.4,563899.06,529507.15,901292.0499999999
Apr/2018,188590.81,510830.0,617512.28,696962.77
May/2018,636234.13,580825.11,580329.35,1630635.6400000001
Jun/2018,618811.33,463620.61,558257.59,777679.91
Jul/2018,584386.15,543333.77,784601.77,793683.41
Aug/2018,408658.63,663834.04,541557.34,1281364.78
Sep/2018,449846.76,454442.87,536897.09,896266.43
Oct/2018,600230.45,726044.35,663440.34,998731.04
Nov/2018,598626.16,534084.49,509382.86,938624.1799999999
Dec/2018,614887.0,535639.97,631652.56,792198.66
Jan/2019,414086.12,702923.37,684504.84,1195728.2
Feb/2019,460518.8,469437.28,521555.38,1208476.16
Mar/2019,384425.56,678145.38,704276.53,1550052.84
Apr/2019,670633.92,867761.34,656495.95,1255075.62
May/2019,623466.22,596798.22,568128.41,1011872.87
Jun/2019,612732.27,712731.8,629788.43,1029100.9
Jul/2019,667486.78,531577.64,516273.85,1056569.11
Aug/2019,586430.65,896841.31,713859.98,1167556.89
Sep/2019,850778.21,518043.68,491194.71,725041.0700000001
Oct/2019,225207.04,712672.38,691407.73,1195576.77
Nov/2019,610868.12,791039.02,658706.42,1122990.69
Dec/2019,600003.85,731012.24,797580.75,1098972.39
Jan/2020,715600.32,629414.9,573220.63,1033194.95
Feb/2020,451331.7,741509.07,611314.13,1249319.29
Mar/2020,643278.89,735491.29,809640.18,1369326.46
Apr/2020,510349.93,329134.18,453153.09,834366.52
May/2020,616381.45,415805.82,170292.5,694063.5399999999
Jun/2020,467664.76,683322.72,415672.19,1115093.96
Jul/2020,675337.54,451717.75,347541.59,779930.57
Aug/2020,634320.07,547899.55,414416.34,799256.95
Sep/2020,315527.09,591799.83,563742.5,1021360.83
Oct/2020,960840.53,861840.54,733692.01,891340.69
Nov/2020,328603.13,696600.14,570262.17,1197505.58
Dec/2020,684160.08,780347.28,777450.55,1050560.83
Jan/2021,475619.49,626537.48,642652.37,1187144.3399999999
Feb/2021,617783.16,715261.34,726508.78,1078028.01
Mar/2021,549815.26,772750.01,850334.64,1358525.23
Apr/2021,664443.94,634408.89,1227173.53,1289740.1700000002
May/2021,678501.06,669085.78,649783.14,1279017.24
Jun/2021,466658.55,833544.64,623695.2,1441596.16
Jul/2021,665263.1,833732.31,689717.29,1133666.2
Aug/2021,746002.48,664522.74,685977.45,1177849.5899999999
Sep/2021,689829.47,844430.03,646233.31,896539.24
Oct/2021,696346.9,522701.11,589405.56,1583822.56
Nov/2021,524186.5,692267.31,623392.63,1029780.8
Dec/2021,679415.09,785313.56,640981.15,1294042.31
Jan/2022,657185.74,848902.97,947226.27,1442571.28
Feb/2022,673218.3,723925.74,673653.8,1217495.31
Mar/2022,713553.44,772406.1,592318.21,1262074.1
Apr/2022,693964.4,906104.05,493958.32,1288488.28
May/2022,667272.19,762776.12,663348.94,1315826.8800000001
Jun/2022,265773.77,641348.46,556311.96,1056722.25
Jul/2022,717652.72,987872.05,611115.01,1142276.18
Aug/2022,735253.72,657942.72,378627.69,1299910.96
Sep/2022,421303.21,869579.64,551589.72,1082501.76
Oct/2022,717849.25,718920.2,529832.42,991787.6699999999
Nov/2022,691237.42,754135.86,595870.42,1146702.46
Dec/2022,671444.61,841323.98,602458.3,1091995.76
Jan/2023,497780.69,909391.13,578792.14,1487174.05
Feb/2023,652984.71,725101.2,685183.06,1267967.39
Mar/2023,711978.35,803262.67,633849.05,1322505.1199999999
Apr/2023,647666.3,922032.39,572201.36,1438686.71
May/2023,713348.99,947633.29,668478.73,1443147.4400000002
Jun/2023,285817.78,831466.44,639685.8,1278824.18
Jul/2023,1077122.75,830098.86,562498.09,1113086.84
Aug/2023,274973.63,801621.75,669240.21,1080439.66
Sep/2023,591711.91,762592.3,586145.3,1267769.02
Oct/2023,673581.15,928439.18,652149.45,839713.1900000001
Nov/2023,578797.45,839290.02,682060.84,1368698.96
Dec/2023,692182.03,763754.27,571924.92,1532588.1500000001
Jan/2024,701570.8,914133.32,712333.33,1415808.13
Feb/2024,916541.7,740662.25,650360.11,1241501.08
Mar/2024,675157.48,838270.93,620077.74,1482045.48
Apr/2024,473940.66,886132.77,687017.96,1294706.12
May/2024,684864.46,939656.18,696970.3,1470870.09
