Fecha,Superior,Regular,Diesel,GasLicuado
02/2024,32.45,30.95,30.97,115.0
02/2024,32.45,30.95,30.97,115.0
02/2024,32.45,30.95,30.97,115.0
02/2024,32.45,30.95,30.97,115.0
03/2024,32.45,30.95,30.97,115.0
03/2024,32.45,30.95,30.97,115.0
03/2024,32.45,30.95,30.97,115.0
03/2024,32.89,31.4,30.7,115.0
03/2024,32.89,31.4,30.7,115.0
03/2024,32.89,31.4,30.7,115.0
03/2024,32.89,31.4,30.7,115.0
03/2024,32.89,31.4,30.7,115.0
03/2024,32.89,31.4,30.7,115.0
03/2024,32.89,31.4,30.7,115.0
03/2024,33.42,31.92,30.15,115.0
03/2024,33.42,31.92,30.15,115.0
03/2024,33.42,31.92,30.15,115.0
03/2024,33.42,31.92,30.15,115.0
03/2024,33.42,31.92,30.15,115.0
03/2024,33.42,31.92,30.15,115.0
03/2024,33.42,31.92,30.15,115.0
03/2024,34.46,32.96,29.56,115.0
03/2024,34.46,32.96,29.56,115.0
03/2024,34.46,32.96,29.56,115.0
03/2024,34.46,32.96,29.56,115.0
03/2024,34.46,32.96,29.56,115.0
03/2024,34.46,32.96,29.56,115.0
03/2024,34.46,32.96,29.56,115.0
03/2024,34.95,33.4,29.48,115.0
03/2024,34.95,33.4,29.48,115.0
03/2024,34.95,33.4,29.48,115.0
03/2024,34.95,33.4,29.48,115.0
03/2024,34.95,33.4,29.48,115.0
03/2024,34.95,33.4,29.48,115.0
03/2024,34.95,33.4,29.48,115.0
04/2024,34.98,33.48,29.48,115.0
04/2024,34.98,33.48,29.48,115.0
04/2024,34.98,33.48,29.48,115.0
04/2024,34.98,33.48,29.48,115.0
04/2024,34.98,33.48,29.48,115.0
04/2024,34.98,33.48,29.48,115.0
04/2024,34.98,33.48,29.48,115.0
04/2024,35.64,34.14,30.21,115.0
04/2024,35.64,34.14,30.21,115.0
04/2024,35.64,34.14,30.21,115.0
04/2024,35.64,34.14,30.21,115.0
04/2024,35.64,34.14,30.21,115.0
04/2024,35.64,34.14,30.21,115.0
04/2024,35.64,34.14,30.21,115.0
04/2024,35.68,34.18,30.17,115.0
04/2024,35.68,34.18,30.17,115.0
04/2024,35.68,34.18,30.17,115.0
04/2024,35.68,34.18,30.17,115.0
04/2024,35.68,34.18,30.17,115.0
04/2024,35.68,34.18,30.17,115.0
04/2024,35.68,34.18,30.17,115.0
04/2024,35.17,33.67,29.81,115.0
04/2024,35.17,33.67,29.81,115.0
04/2024,35.17,33.67,29.81,115.0
04/2024,35.17,33.67,29.81,115.0
04/2024,35.17,33.67,29.81,115.0
04/2024,35.17,33.67,29.81,115.0
04/2024,35.17,33.67,29.81,115.0
04/2024,34.51,33.06,29.24,115.0
04/2024,34.51,33.06,29.24,115.0
05/2024,34.51,33.06,29.24,115.0
05/2024,34.51,33.06,29.24,115.0
05/2024,34.51,33.06,29.24,115.0
05/2024,34.51,33.06,29.24,115.0
05/2024,34.51,33.06,29.24,115.0
05/2024,34.17,32.67,28.86,115.0
05/2024,34.17,32.67,28.86,115.0
05/2024,34.17,32.67,28.86,115.0
05/2024,34.17,32.67,28.86,115.0
05/2024,34.17,32.67,28.86,115.0
05/2024,34.17,32.67,28.86,115.0
05/2024,34.17,32.67,28.86,115.0
05/2024,33.61,32.11,28.3,115.0
05/2024,33.61,32.11,28.3,115.0
05/2024,33.61,32.11,28.3,115.0
05/2024,33.61,32.11,28.3,115.0
05/2024,33.61,32.11,28.3,115.0
05/2024,33.61,32.11,28.3,115.0
05/2024,33.61,32.11,28.3,115.0
05/2024,33.01,31.51,27.88,115.0
05/2024,33.01,31.51,27.88,115.0
05/2024,33.01,31.51,27.88,115.0
05/2024,33.01,31.51,27.88,115.0
05/2024,33.01,31.51,27.88,115.0
05/2024,33.01,31.51,27.88,115.0
05/2024,33.01,31.51,27.88,115.0
05/2024,32.88,31.37,27.63,115.0
05/2024,32.88,31.37,27.63,115.0
05/2024,32.88,31.37,27.63,115.0
05/2024,32.88,31.37,27.63,115.0
