Fecha,GasLicuado,Regular,Superior,Diesel
Apr/2020,345933.61,458420.85,391773.23,873212.76
May/2020,362987.37,478771.83,407482.52,832843.87
Jun/2020,402541.02,516933.6,388952.81,789734.05
Jul/2020,423328.22,567052.5,462380.81,875422.05
Aug/2020,483695.9,647375.58,574379.33,894965.61
Sep/2020,439581.36,661665.58,610445.1,968748.73
Oct/2020,459312.45,680362.07,648582.82,1080480.55
Nov/2020,421504.59,652630.16,639856.62,1083578.15
Dec/2020,481068.86,768193.03,760695.45,1289110.3900000001
Jan/2021,485759.13,685942.97,655512.66,1232702.27
Feb/2021,447847.05,669312.88,621712.09,1283552.44
Mar/2021,513966.39,773453.52,692240.49,1427888.03
Apr/2021,466275.27,688389.03,610310.75,1278367.5
May/2021,475018.36,707336.38,643076.84,1200963.69
Jun/2021,475462.79,692598.71,637332.81,1138265.9500000002
Jul/2021,500478.6,740193.13,665472.94,1208648.5599999998
Aug/2021,492629.81,668221.54,636824.61,1115150.47
Sep/2021,493058.47,670418.8,605257.76,1113234.3
Oct/2021,497279.7,718676.32,675821.54,1177906.0999999999
Nov/2021,480432.29,708246.27,641916.4,1234541.5
Dec/2021,531775.93,821882.15,768102.83,1394414.56
Jan/2022,513015.93,683031.84,621512.78,1294765.04
Feb/2022,519921.04,661521.58,592106.14,1276110.4600000002
Mar/2022,483657.43,701819.65,598038.47,1345694.11
Apr/2022,493178.4,812059.06,569199.43,1297298.27
May/2022,515616.02,791824.98,483991.63,1118496.96
Jun/2022,513914.27,781009.47,507260.42,1112134.48
Jul/2022,513619.25,788841.46,554496.9,1135161.38
Aug/2022,541273.94,784468.32,581844.42,1117277.56
Sep/2022,479529.68,760396.15,570632.2,1213546.41
Oct/2022,545823.45,768784.36,573943.48,988133.51
Nov/2022,528393.77,771173.12,572163.23,1176079.78
Dec/2022,556737.22,865851.44,635953.46,1250222.35
Jan/2023,574148.0,804524.73,599501.29,1295323.67
Feb/2023,497273.19,737345.64,544144.0,1235283.5799999998
Mar/2023,588892.16,875010.34,656941.64,1474471.14
Apr/2023,513919.89,798128.36,586642.2,1258452.76
May/2023,561767.17,866826.79,646221.2,1358755.57
Jun/2023,532138.9,782745.17,616290.21,1170052.66
Jul/2023,521833.56,825219.05,642098.16,1188776.9200000002
Aug/2023,543825.64,851754.02,632333.4,1234074.3699999999
Sep/2023,517699.48,799852.73,597670.26,1113955.56
Oct/2023,495261.14,728741.16,531542.58,1007881.39
Nov/2023,530542.42,807947.98,632180.03,1259373.2
Dec/2023,541263.18,880233.12,691389.62,1345275.95
Jan/2024,548124.45,830708.13,658083.66,1371766.15
Feb/2024,526897.85,818740.16,654059.6,1352602.93
Mar/2024,523990.91,870771.7,671997.05,1405703.42
Apr/2024,531880.19,847353.15,633520.57,1442103.5999999999
May/2024,536754.38,894533.14,692427.94,1412565.62
